,median_travel,max_travel,95pctl_travel,activity_within_30,location_0,location_1,location_2,location_3,location_4,location_5,median_0,median_1,median_2,median_3,median_4,median_5,max_0,max_1,max_2,max_3,max_4,max_5,95pctl_0,95pctl_1,95pctl_2,95pctl_3,95pctl_4,95pctl_5,activity_0,activity_1,activity_2,activity_3,activity_4,activity_5,activity_within_threshold_0,activity_within_threshold_1,activity_within_threshold_2,activity_within_threshold_3,activity_within_threshold_4,activity_within_threshold_5
scen_0,56.0,57.0,56.900000000000006,0.0,1.0,,,,,,56.0,,,,,,57.0,,,,,,56.9,,,,,,20.0,,,,,,0.0,,,,,
scen_1,48.0,76.0,73.19999999999999,7.0,,1.0,,,,,,48.0,,,,,,76.0,,,,,,73.19999999999999,,,,,,20.0,,,,,,7.0,,,,
scen_2,26.0,68.0,63.8,11.0,,,1.0,,,,,,26.0,,,,,,68.0,,,,,,63.8,,,,,,20.0,,,,,,11.0,,,
scen_3,56.0,57.0,56.900000000000006,0.0,,,,1.0,,,,,,56.0,,,,,,57.0,,,,,,56.9,,,,,,20.0,,,,,,0.0,,
scen_4,48.0,76.0,73.19999999999999,7.0,,,,,1.0,,,,,,48.0,,,,,,76.0,,,,,,73.19999999999999,,,,,,20.0,,,,,,7.0,
scen_5,26.0,68.0,63.8,11.0,,,,,,1.0,,,,,,26.0,,,,,,68.0,,,,,,63.8,,,,,,20.0,,,,,,11.0
scen_6,36.0,48.0,46.8,7.0,1.0,1.0,,,,,36.0,26.5,,,,,36.0,48.0,,,,,36.0,45.85,,,,,9.0,11.0,,,,,0.0,7.0,,,,
scen_7,26.0,36.0,35.0,11.0,1.0,,1.0,,,,36.0,,20.0,,,,36.0,,26.0,,,,36.0,,25.4,,,,9.0,,11.0,,,,0.0,,11.0,,,
scen_8,56.0,57.0,56.900000000000006,0.0,1.0,,,1.0,,,56.0,,,,,,57.0,,,,,,56.9,,,,,,20.0,,,,,,0.0,,,,,
scen_9,36.0,48.0,46.8,7.0,1.0,,,,1.0,,36.0,,,,26.5,,36.0,,,,48.0,,36.0,,,,45.85,,9.0,,,,11.0,,0.0,,,,7.0,
scen_10,26.0,36.0,35.0,11.0,1.0,,,,,1.0,36.0,,,,,20.0,36.0,,,,,26.0,36.0,,,,,25.4,9.0,,,,,11.0,0.0,,,,,11.0
scen_11,26.0,68.0,63.8,11.0,,1.0,1.0,,,,,5.0,47.0,,,,,5.0,68.0,,,,,5.0,65.9,,,,,7.0,13.0,,,,,7.0,4.0,,,
scen_12,36.0,48.0,46.8,7.0,,1.0,,1.0,,,,26.5,,36.0,,,,48.0,,36.0,,,,45.85,,36.0,,,,11.0,,9.0,,,,7.0,,0.0,,
scen_13,48.0,76.0,73.19999999999999,7.0,,1.0,,,1.0,,,48.0,,,,,,76.0,,,,,,73.19999999999999,,,,,,20.0,,,,,,7.0,,,,
scen_14,26.0,68.0,63.8,11.0,,1.0,,,,1.0,,5.0,,,,47.0,,5.0,,,,68.0,,5.0,,,,65.9,,7.0,,,,13.0,,7.0,,,,4.0
scen_15,26.0,36.0,35.0,11.0,,,1.0,1.0,,,,,20.0,36.0,,,,,26.0,36.0,,,,,25.4,36.0,,,,,11.0,9.0,,,,,11.0,0.0,,
scen_16,26.0,68.0,63.8,11.0,,,1.0,,1.0,,,,47.0,,5.0,,,,68.0,,5.0,,,,65.9,,5.0,,,,13.0,,7.0,,,,4.0,,7.0,
scen_17,26.0,68.0,63.8,11.0,,,1.0,,,1.0,,,26.0,,,,,,68.0,,,,,,63.8,,,,,,20.0,,,,,,11.0,,,
scen_18,36.0,48.0,46.8,7.0,,,,1.0,1.0,,,,,36.0,26.5,,,,,36.0,48.0,,,,,36.0,45.85,,,,,9.0,11.0,,,,,0.0,7.0,
scen_19,26.0,36.0,35.0,11.0,,,,1.0,,1.0,,,,36.0,,20.0,,,,36.0,,26.0,,,,36.0,,25.4,,,,9.0,,11.0,,,,0.0,,11.0
scen_20,26.0,68.0,63.8,11.0,,,,,1.0,1.0,,,,,5.0,47.0,,,,,5.0,68.0,,,,,5.0,65.9,,,,,7.0,13.0,,,,,7.0,4.0
scen_21,26.0,36.0,35.0,11.0,1.0,1.0,1.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_22,36.0,48.0,46.8,7.0,1.0,1.0,,1.0,,,36.0,26.5,,,,,36.0,48.0,,,,,36.0,45.85,,,,,9.0,11.0,,,,,0.0,7.0,,,,
scen_23,36.0,48.0,46.8,7.0,1.0,1.0,,,1.0,,36.0,26.5,,,,,36.0,48.0,,,,,36.0,45.85,,,,,9.0,11.0,,,,,0.0,7.0,,,,
scen_24,26.0,36.0,35.0,11.0,1.0,1.0,,,,1.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,9.0,7.0,,,,4.0,0.0,7.0,,,,4.0
scen_25,26.0,36.0,35.0,11.0,1.0,,1.0,1.0,,,36.0,,20.0,,,,36.0,,26.0,,,,36.0,,25.4,,,,9.0,,11.0,,,,0.0,,11.0,,,
scen_26,26.0,36.0,35.0,11.0,1.0,,1.0,,1.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,9.0,,4.0,,7.0,,0.0,,4.0,,7.0,
scen_27,26.0,36.0,35.0,11.0,1.0,,1.0,,,1.0,36.0,,20.0,,,,36.0,,26.0,,,,36.0,,25.4,,,,9.0,,11.0,,,,0.0,,11.0,,,
scen_28,36.0,48.0,46.8,7.0,1.0,,,1.0,1.0,,36.0,,,,26.5,,36.0,,,,48.0,,36.0,,,,45.85,,9.0,,,,11.0,,0.0,,,,7.0,
scen_29,26.0,36.0,35.0,11.0,1.0,,,1.0,,1.0,36.0,,,,,20.0,36.0,,,,,26.0,36.0,,,,,25.4,9.0,,,,,11.0,0.0,,,,,11.0
